Time,PV,SP,OP,Error,ts
520,-0.0061968,-0.20571,0.64911,-0.24959,20
521,-0.089729,-0.16704,0.64338,-0.059942,20
522,-0.19183,-0.13611,0.67016,0.15121,20
523,-0.079291,-0.066519,0.61467,0.049535,20
524,-0.15122,-0.091255,0.54578,0.13948,20
525,0.50777,-0.13611,0.48075,-1.0278,20
526,0.075014,-0.22427,0.33912,-0.40992,20
527,0.33722,-0.32326,0.17842,-0.97691,20
528,-0.027087,-0.49185,-0.10291,-0.5761,20
529,0.21309,-0.59702,-0.40331,-1.1138,20
530,0.22004,-0.76715,-0.82237,-1.3406,20
531,-0.032883,-0.90946,-1.2606,-1.0942,20
532,-0.014314,-0.96823,-1.6146,-1.1998,20
533,-0.99585,-1.075,-1.7715,0.31936,20
534,-1.004,-1.0889,-1.6395,0.31545,20
535,-1.4077,-1.0456,-1.385,1.0506,20
536,-1.5098,-0.87234,-1.0329,1.4416,20
537,-1.4692,-0.66817,-0.51238,1.6313,20
538,-1.7279,-0.49958,0.096087,2.2804,20
539,-0.81022,-0.31553,0.69694,0.96653,20
540,-0.35657,-0.15622,0.77542,0.40343,20
541,-0.12685,-0.089717,0.8194,0.10036,20
542,0.092416,-0.047953,0.85004,-0.21636,20
543,-0.068853,0.051029,0.91319,0.18054,20
544,-0.0061968,0.052585,0.97062,0.076916,20
545,0.47065,0.060312,0.94378,-0.7169,20
546,0.13999,0.049491,0.88255,-0.17335,20
547,-0.18836,-0.02166,0.89594,0.29004,20
548,0.026285,-0.1191,0.85577,-0.19486,20
549,0.1075,-0.33254,0.70653,-0.60152,20
550,-0.057247,-0.49958,0.49414,-0.53504,20
551,0.13999,-0.73932,0.17076,-1.1705,20
552,0.1864,-0.85222,-0.18133,-1.3914,20
553,0.058767,-0.98833,-0.60805,-1.3484,20
554,0.072693,-1.0487,-1.1324,-1.4481,20
555,0.097058,-0.99299,-1.6088,-1.4188,20
556,-0.13963,-0.93265,-2.0623,-0.94367,20
557,-1.5701,-0.85532,-1.9533,1.5648,20
558,-1.6664,-0.76562,-1.3964,1.8405,20
559,-1.5597,-0.61403,-0.84535,1.8522,20
560,-1.8045,-0.44699,-0.097127,2.4759,20
561,-0.82066,-0.24747,0.63192,1.0701,20
562,-0.038678,-0.085066,0.78881,-0.042351,20
563,-0.4784,0.026293,0.8577,0.83943,20
564,-0.31016,0.080416,1.0223,0.62435,20
565,0.33025,0.20725,1.0739,-0.29456,20
566,0.40567,0.22581,0.91512,-0.39819,20
567,0.64235,0.22581,0.75244,-0.79705,20
568,0.44396,0.19024,0.55344,-0.50769,20
569,0.89876,0.12993,0.26257,-1.3504,20
570,0.7108,-0.032481,-0.19092,-1.2389,20
571,0.60755,-0.24128,-0.64822,-1.3289,20
572,0.93704,-0.47484,-1.2338,-2.1793,20
573,0.5565,-0.66354,-1.9226,-1.7766,20
574,-1.0724,-0.82439,-1.9647,0.76514,20
575,-1.2696,-0.93884,-1.5763,0.95282,20
576,-1.5574,-1.0084,-1.1457,1.3497,20
577,-1.8161,-0.94503,-0.72289,1.8659,20
578,-1.8405,-0.83986,-0.17367,2.0399,20
579,-0.9622,-0.68518,0.3659,0.75537,20
580,-0.43431,-0.49804,0.5018,0.10233,20
581,-0.59675,-0.27995,0.58215,0.65175,20
582,-0.12338,-0.10208,0.76583,0.078883,20
583,0.041365,0.052585,0.86536,-0.0032358,20
584,-0.016635,0.17942,0.8998,0.25483,20
585,0.095904,0.24592,0.94571,0.14924,20
586,-0.046809,0.30934,0.99161,0.46992,20
587,-0.010839,0.30778,1.1103,0.40734,20
588,0.076182,0.30778,1.1466,0.26069,20
589,0.9092,0.29387,1.0663,-1.1607,20
590,0.83959,0.19179,0.67209,-1.1724,20
591,0.75372,0.068057,0.24731,-1.1842,20
592,0.98693,-0.17478,-0.32297,-1.8841,20
593,0.44396,-0.38977,-0.96207,-1.2409,20
594,0.89876,-0.52278,-1.6471,-2.1754,20
595,-0.59442,-0.66973,-2.0872,0.15512,20
596,-1.5655,-0.76715,-1.695,1.6684,20
597,-1.2035,-0.80119,-1.2701,1.0154,20
598,-1.837,-0.78418,-0.66167,2.1044,20
599,-1.7651,-0.59548,0.063572,2.2217,20
600,-0.58978,-0.38822,0.43292,0.50316,20
601,-0.19068,-0.18097,0.5649,0.092562,20
602,-0.24171,0.010821,0.66443,0.42102,20
603,0.018168,0.15622,0.82899,0.16686,20
604,-0.28348,0.22581,1.0185,0.76317,20
605,0.34186,0.29541,1.0185,-0.20268,20
606,0.47297,0.27686,0.86729,-0.44707,20
607,0.55186,0.28614,0.74098,-0.56828,20
608,0.47644,0.27221,0.45204,-0.4588,20
609,0.55069,0.22891,0.18795,-0.63866,20
610,0.8013,0.13146,-0.18133,-1.1842,20
611,0.75953,-0.058774,-0.57933,-1.3543,20
612,0.85931,-0.31707,-1.2357,-1.8489,20
613,0.55997,-0.58001,-1.8136,-1.6769,20
614,-0.83806,-0.7548,-1.9858,0.45816,20
615,-1.3439,-0.84605,-1.6643,1.1953,20
616,-1.352,-0.795,-1.3371,1.2735,20
617,-1.4785,-0.65735,-0.91997,1.6606,20
618,-1.453,-0.52433,-0.31531,1.7857,20
619,-1.2569,-0.29233,0.31619,1.7486,20
620,-0.48072,-0.1454,0.65677,0.62631,20
621,-0.075816,0.051029,0.74478,0.19227,20
622,-0.30205,0.13302,0.94191,0.67716,20
623,0.21309,0.22891,0.91319,-0.069732,20
624,0.17479,0.28459,0.90746,0.065181,20
625,0.15623,0.31707,0.92851,0.13753,20
626,0.3407,0.38357,0.91319,-0.08929,20
627,0.44511,0.39131,0.85197,-0.25545,20
628,0.34418,0.37894,0.82706,-0.101,20
629,0.33954,0.35728,0.76583,-0.12056,20
630,0.58318,0.32789,0.57449,-0.5683,20
631,0.734,0.20725,0.3066,-0.97496,20
632,0.74561,0.080416,-0.045489,-1.1548,20
633,0.58666,-0.10982,-0.40905,-1.1275,20
634,0.51357,-0.23665,-0.81856,-1.1646,20
635,0.50892,-0.4006,-1.2204,-1.364,20
636,0.59942,-0.49804,-1.7466,-1.6397,20
637,-0.78817,-0.54599,-1.7906,0.63805,20
638,-1.1351,-0.57847,-1.4252,1.1816,20
639,-1.2929,-0.58311,-1.0329,1.4416,20
640,-1.1339,-0.48257,-0.67886,1.3009,20
641,-1.1037,-0.36348,-0.097127,1.4006,20
642,-0.9622,-0.22581,0.5018,1.3361,20
643,0.055292,-0.052585,0.67402,-0.15965,20
644,0.030927,0.098982,0.82518,0.073004,20
645,0.025131,0.19796,0.96103,0.20789,20
646,0.021643,0.33717,1.0108,0.38975,20
647,-0.12106,0.40213,1.0969,0.71234,20
648,0.088941,0.50267,1.2155,0.48554,20
649,0.64235,0.49958,1.3189,-0.45098,20
650,0.31749,0.56298,1.2136,0.17663,20
651,0.64583,0.55526,1.0529,-0.38645,20
652,0.63191,0.54753,1.0185,-0.37277,20
653,0.46251,0.45937,0.94571,-0.19874,20
654,0.86279,0.2753,0.71607,-1.106,20
655,0.70732,0.08351,0.43479,-1.0864,20
656,0.74561,-0.17942,-0.045489,-1.4833,20
657,1.0194,-0.38977,-0.52963,-2.2106,20
658,0.46021,-0.53671,-1.0118,-1.454,20
659,0.35926,-0.61559,-1.5514,-1.3836,20
660,-0.68955,-0.6326,-1.6395,0.36237,20
661,-1.026,-0.59239,-1.3084,0.9802,20
662,-1.1536,-0.49031,-1.1094,1.3243,20
663,-1.0887,-0.38359,-0.70565,1.3497,20
664,-0.77077,-0.21499,-0.34016,1.0271,20
665,-0.64663,-0.080434,0.13053,0.98803,20
666,-0.78469,0.14847,0.69887,1.51,20
667,0.28037,0.22581,0.77542,-0.18703,20
668,0.39755,0.36502,0.81752,-0.20853,20
669,0.13767,0.45472,0.92085,0.34281,20
670,0.42888,0.50267,0.91319,-0.087322,20
671,0.15275,0.56145,0.95337,0.45231,20
672,0.4892,0.60784,1.0548,-0.05603,20
673,0.71892,0.65889,1.072,-0.37863,20
674,0.65975,0.66043,0.99161,-0.27697,20
675,0.5681,0.65424,0.84431,-0.13035,20
676,0.61799,0.50577,0.83665,-0.4021,20
677,0.77346,0.33408,0.72759,-0.88113,20
678,0.76185,0.12374,0.40608,-1.1275,20
679,0.60059,-0.046396,0.082695,-1.0708,20
680,0.4892,-0.19952,-0.40905,-1.0766,20
681,0.99852,-0.25676,-0.83576,-2.0073,20
682,0.63886,-0.28614,-1.2644,-1.4383,20
683,0.35114,-0.24593,-1.6854,-0.90264,20
684,-0.27885,-0.21036,-1.9226,0.20401,20
685,-1.4657,-0.16859,-1.5706,2.2569,20
686,-1.3149,-0.11136,-0.90277,2.0751,20
687,-1.4959,-0.0030943,-0.31531,2.517,20
688,-1.2418,0.10363,0.43099,2.2237,20
689,-0.30554,0.26448,0.77922,0.84923,20
690,0.25833,0.36346,0.85577,0.024122,20
691,0.05065,0.4872,0.95717,0.53052,20
692,0.32793,0.53979,0.95337,0.12971,20
693,0.29894,0.53979,0.98974,0.17857,20
694,0.61335,0.54597,1.028,-0.34345,20
695,0.84422,0.49648,0.93805,-0.79508,20
696,0.47876,0.41451,0.71419,-0.28283,20
697,0.49965,0.37738,0.56876,-0.36497,20
698,0.59594,0.31861,0.41567,-0.60154,20
699,0.54374,0.22735,0.18795,-0.62892,20
700,0.86626,0.12374,-0.19285,-1.3034,20
701,0.83495,0.061868,-0.60805,-1.3289,20
702,0.41959,-0.037132,-0.98312,-0.75404,20
703,0.67368,-0.12374,-1.2855,-1.2917,20
704,0.075014,-0.20417,-1.6567,-0.38451,20
705,-0.80209,-0.26758,-1.5553,1.0134,20
706,-1.0028,-0.26448,-1.096,1.3556,20
707,-1.1745,-0.21345,-0.64062,1.7095,20
708,-0.5979,-0.1423,-0.2904,0.8277,20
709,-1.2662,7.32E-08,0.27789,2.1338,20
710,0.22352,0.15466,0.73139,-0.18118,20
711,-0.082766,0.3016,0.83472,0.52073,20
712,0.16783,0.43152,1.0031,0.26266,20
713,0.35811,0.5305,1.0682,0.067126,20
714,0.51124,0.59393,1.0911,-0.11077,20
715,0.44743,0.63723,1.116,0.051503,20
716,0.72588,0.62795,1.0969,-0.42948,20
717,0.78969,0.62641,0.90934,-0.53895,20
718,0.63191,0.64188,0.74478,-0.2535,20
719,1.1285,0.61094,0.64145,-1.1294,20
720,0.68644,0.54907,0.38695,-0.46271,20
721,0.35462,0.464,0.29321,-0.011059,20
722,0.58086,0.33563,0.12673,-0.5546,20
723,0.93124,0.15312,-0.12397,-1.3758,20
724,0.9939,0.009283,-0.57553,-1.6632,20
725,0.72705,-0.12839,-1.1018,-1.3875,20
726,0.59247,-0.22737,-1.5437,-1.2859,20
727,-0.6327,-0.31553,-1.8672,0.66737,20
728,-0.91812,-0.30625,-1.6395,1.1601,20
729,-0.52597,-0.33873,-1.2529,0.45819,20
730,-1.0527,-0.26139,-0.91038,1.4436,20
731,-0.97496,-0.13611,-0.39565,1.471,20
732,-1.3439,0.01701,0.24731,2.2863,20
733,-0.28465,0.19643,0.72951,0.72799,20
734,-0.071174,0.33254,0.82518,0.54031,20
735,-0.2336,0.46863,1.0261,0.98606,20
736,0.6992,0.5336,1.072,-0.50377,20
737,0.93007,0.59702,0.67209,-0.81267,20
738,0.13303,0.63414,0.62618,0.57743,20
739,0.22468,0.67127,0.63958,0.46992,20
740,0.47761,0.68518,0.68162,0.06127,20
741,0.37551,0.68981,0.73332,0.23919,20
742,0.44743,0.69137,0.69121,0.11994,20
743,0.63771,0.62022,0.65484,-0.29065,20
744,1.0554,0.53825,0.46543,-1.0981,20
745,0.86626,0.37738,0.18029,-0.98279,20
746,1.1308,0.26448,-0.23683,-1.5713,20
747,1.0264,0.10054,-0.76114,-1.6026,20
748,0.97997,-0.010839,-1.2816,-1.6652,20
749,0.41959,-0.17169,-1.7696,-0.92414,20
750,-0.54337,-0.28768,-1.8614,0.55204,20
751,-1.0028,-0.35883,-1.6222,1.2363,20
752,-0.95407,-0.35111,-1.3026,1.164,20
753,-0.77193,-0.26139,-0.86833,0.97044,20
754,-0.77425,-0.16859,-0.46261,1.0916,20
755,-0.71623,-0.012377,0.011935,1.1914,20
756,-0.32989,0.1361,0.58408,0.72797,20
757,-0.044488,0.34336,0.71419,0.50901,20
758,0.040212,0.51349,0.79261,0.58134,20
759,0.06573,0.64342,0.96103,0.70258,20
760,0.63656,0.73158,1.0682,-0.14794,20
761,0.44164,0.81355,1.0892,0.28416,20
762,0.73981,0.84449,1.0395,-0.17921,20
763,1.1946,0.85995,0.84811,-0.9261,20
764,0.84307,0.81974,0.59935,-0.38451,20
765,0.7839,0.79654,0.38508,-0.31412,20
766,0.99157,0.67744,0.16497,-0.81466,20
767,1.0507,0.5073,-0.16794,-1.1294,20
768,1.0612,0.34336,-0.6674,-1.3543,20
769,1.1807,0.15622,-1.2338,-1.7922,20
770,0.81174,-0.0030943,-1.7543,-1.3719,20
771,-0.39486,-0.068057,-1.9667,0.5794,20
772,-1.2882,-0.10982,-1.5916,2.0321,20
773,-0.8079,-0.085066,-1.0577,1.2539,20
774,-1.1281,0.0030944,-0.44735,1.905,20
775,-0.67215,0.060312,0.10568,1.2089,20
776,-0.40298,0.14847,0.54578,0.86679,20
777,0.22817,0.25366,0.60127,-0.063853,20
778,0.25833,0.37584,0.76583,0.039768,20
779,0.33606,0.44544,0.69507,-0.003259,20
780,0.25253,0.49185,0.70653,0.19618,20
781,0.50545,0.53206,0.54385,-0.17921,20
782,0.79201,0.58001,0.45011,-0.60152,20
783,0.95213,0.58155,0.28555,-0.8694,20
784,0.86279,0.60784,0.086553,-0.6856,20
785,0.73285,0.59083,-0.032098,-0.48813,20
786,0.96836,0.52433,-0.21578,-0.96909,20
787,0.8187,0.44234,-0.50665,-0.82052,20
788,0.73517,0.33408,-0.89125,-0.8166,20
789,1.1088,0.20571,-1.2262,-1.6084,20
790,0.52634,0.15157,-1.6165,-0.69539,20
791,-0.18951,0.057218,-1.6509,0.39169,20
792,-0.73131,0.032481,-1.4041,1.2735,20
793,-0.56078,0.023198,-1.0979,0.97435,20
794,-1.0968,0.064963,-0.71711,1.9304,20
795,-0.968,0.13919,-0.15648,1.8072,20
796,-0.80905,0.29231,0.4176,1.7329,20
797,-0.067685,0.42379,0.72185,0.64978,20
798,0.43584,0.50267,0.75244,-0.099057,20
799,0.22584,0.58311,0.85577,0.35651,20
800,0.39987,0.64651,0.91127,0.14339,20
801,0.437,0.66662,0.96676,0.10624,20
802,0.67483,0.68672,0.91893,-0.26915,20
803,1.0032,0.6527,0.71419,-0.86546,20
804,0.8071,0.61713,0.41952,-0.58001,20
805,1.2921,0.56917,0.14012,-1.4579,20
806,1.1946,0.4872,-0.34402,-1.3973,20
807,1.147,0.36656,-0.77453,-1.4696,20
808,1.0322,0.28459,-1.2778,-1.3797,20
809,0.77577,0.19024,-1.7715,-1.0669,20
810,-0.31481,0.10826,-1.7466,0.66737,20
811,-0.77542,0.018548,-1.3811,1.3302,20
812,-0.75453,0.049491,-0.98505,1.3341,20
813,-1.0666,0.075784,-0.49898,1.8933,20
814,-0.83806,0.21962,0.061643,1.6899,20
815,-0.37978,0.35883,0.55344,1.0936,20
816,0.20612,0.5073,0.71419,0.29393,20
817,0.33954,0.58311,0.83665,0.16491,20
818,0.49616,0.67899,0.92466,0.022178,20
819,0.60638,0.69447,0.85384,-0.14401,20
820,0.58783,0.7223,0.80601,-0.077555,20
821,0.39291,0.74859,0.80601,0.28416,20
822,1.089,0.77488,0.8022,-0.85572,20
823,1.0101,0.73467,0.63192,-0.77358,20
824,0.74096,0.71301,0.45204,-0.34736,20
825,0.81523,0.66817,0.3066,-0.52919,20
826,0.83959,0.58311,0.096087,-0.67778,20
827,0.99969,0.44544,-0.16987,-1.1216,20
828,0.76301,0.2784,-0.48366,-0.9339,20
829,0.77577,0.20571,-0.86833,-1.0473,20
830,1.1354,0.15312,-1.3103,-1.7199,20
831,0.51821,0.072689,-1.7084,-0.7814,20
832,0.0019202,0.058774,-1.9877,0.07106,20
833,-0.91812,0.027831,-1.6509,1.5824,20
834,-0.57238,0.041764,-1.1879,1.0174,20
835,-0.66403,0.14228,-0.70757,1.2989,20
836,-0.77542,0.28459,-0.26554,1.6665,20
837,-0.83226,0.39131,0.3621,1.8972,20
838,0.51937,0.55835,0.64718,-0.16944,20
839,0.45557,0.65114,0.8615,0.055391,20
840,0.52285,0.76715,0.96483,0.088651,20
841,0.58783,0.88316,0.96483,0.1258,20
842,0.52634,0.96977,1.0069,0.3389,20
843,0.89179,0.9775,0.92085,-0.26721,20
844,0.96604,0.9775,0.83092,-0.39233,20
845,1.0136,1.0053,0.68741,-0.4373,20
846,0.83146,0.98833,0.52473,-0.15183,20
847,0.92892,0.82747,0.34485,-0.51942,20
848,1.1308,0.61713,0.10568,-1.1255,20
849,0.99157,0.4006,-0.29232,-1.1646,20
850,1.1969,0.1856,-0.80517,-1.7825,20
851,0.98229,-0.0030943,-1.385,-1.6593,20
852,1.1296,-0.13765,-1.9475,-2.0777,20
853,-0.31713,-0.16394,-2.1829,0.32719,20
854,-0.92276,-0.1222,-1.7868,1.4006,20
855,-0.81834,0.012377,-1.3026,1.3947,20
856,-1.2151,0.17323,-0.65015,2.2667,20
857,-1.1722,0.45628,0.10187,2.5522,20
858,0.48456,0.6558,0.74098,0.01241,20
859,0.34765,0.84913,0.95144,0.48751,20
860,0.38362,0.96823,1.1256,0.57745,20
861,1.3373,0.98368,1.1715,-1.0102,20
862,1.1842,0.97596,1.1486,-0.76184,20
863,0.88483,0.96049,0.88448,-0.27697,20
864,0.95444,0.88316,0.74098,-0.49202,20
865,0.88483,0.81665,0.59361,-0.4588,20
866,0.94517,0.75478,0.5056,-0.63869,20
867,1.212,0.64961,0.30275,-1.2213,20
868,0.90803,0.5568,0.050181,-0.82637,20
869,1.4034,0.40213,-0.44922,-1.8568,20
870,1.2747,0.25983,-1.075,-1.8196,20
871,1.0995,0.18095,-1.7294,-1.6241,20
872,-0.34266,0.10363,-1.8308,0.70846,20
873,-0.70464,-0.0077449,-1.4385,1.1777,20
874,-0.85895,0.021642,-1.0979,1.4749,20
875,-0.968,0.091255,-0.65015,1.7466,20
876,-1.2256,0.28305,-0.024438,2.4231,20
877,-0.78817,0.47173,0.58022,1.9246,20
878,0.28617,0.62022,0.90361,0.30177,20
879,0.45208,0.696,0.90553,0.11798,20
880,0.60755,0.79345,0.90173,-0.020849,20
881,0.7839,0.8213,0.90361,-0.28283,20
882,1.2027,0.84913,0.72951,-0.95346,20
883,1.0658,0.84759,0.51134,-0.7247,20
884,1.2108,0.81974,0.33339,-1.0043,20
885,1.1934,0.83675,0.05977,-0.95346,20
886,1.2352,0.78572,-0.26174,-1.0884,20
887,0.9788,0.72695,-0.5315,-0.73055,20
888,0.99969,0.6527,-0.77453,-0.85961,20
889,1.1227,0.48566,-1.1286,-1.278,20
890,0.29545,0.40986,-1.4156,0.02021,20
891,0.13303,0.33098,-1.3888,0.19422,20
892,-0.66518,0.29696,-1.1113,1.4964,20
893,-0.46796,0.32016,-0.68459,1.1933,20
894,-0.71623,0.36346,-0.19285,1.6665,20
895,-0.56889,0.43462,0.1669,1.5081,20
896,-0.43548,0.50577,0.71034,1.3732,20
897,0.25948,0.63414,0.92851,0.36433,20
898,0.3987,0.68672,0.99547,0.19618,20
899,0.34535,0.77798,0.99161,0.40146,20
900,0.58086,0.85685,1.0127,0.10427,20
901,0.63191,0.89552,0.94378,0.067126,20
902,0.52981,0.88624,0.95337,0.22745,20
903,0.70848,0.81665,0.88641,-0.16162,20
904,1.0681,0.75943,0.70461,-0.84005,20
905,1.0148,0.61249,0.44631,-0.93585,20
906,0.77693,0.52587,0.25877,-0.64454,20
907,0.98925,0.42533,-0.083735,-1.1294,20
908,0.9939,0.35883,-0.47027,-1.2213,20
909,0.97068,0.28305,-0.83196,-1.278,20
910,1.0832,0.23819,-1.3103,-1.5244,20
911,0.91848,0.21653,-1.7275,-1.2741,20
912,-0.74641,0.20571,-1.6261,1.5179,20
913,-0.8079,0.2119,-1.1132,1.6293,20
914,-0.62226,0.25211,-0.56594,1.3673,20
915,-1.0353,0.35418,-0.083735,2.1924,20
916,-0.41923,0.5073,0.53625,1.3478,20
917,0.057613,0.69447,0.92659,0.78078,20
918,0.35579,0.80892,1.0931,0.42298,20
919,0.437,0.85532,1.1313,0.34478,20
920,0.59594,0.81665,1.1486,0.028033,20
921,1.0113,0.77334,0.99928,-0.72666,20
922,1.3292,0.78416,0.70653,-1.2487,20
923,1.3025,0.75943,0.37163,-1.235,20
924,1.0194,0.7424,0.046378,-0.77946,20
925,1.1076,0.77025,-0.24256,-0.89285,20
926,1.1157,0.77025,-0.54489,-0.90652,20
927,1.4858,0.79499,-0.92189,-1.499,20
928,0.79086,0.75478,-1.1993,-0.37865,20
929,0.25948,0.67436,-1.2874,0.41518,20
930,-0.10366,0.57536,-1.1132,0.902,20
931,-0.55034,0.49648,-0.69032,1.555,20
932,-0.84734,0.45162,-0.14502,1.9988,20
933,-0.51437,0.42998,0.34298,1.4104,20
934,-0.36703,0.44853,0.82326,1.1855,20
935,0.11678,0.5104,0.85577,0.4484,20
936,0.31517,0.58155,0.90553,0.20401,20
937,0.50197,0.66817,0.93998,-0.0012916,20
938,0.88947,0.696,0.89407,-0.61913,20
939,0.65975,0.79964,0.91127,-0.101,20
940,0.60523,0.8414,0.84811,0.04368,20
941,0.9034,0.82747,0.74671,-0.47642,20
942,1.0322,0.80736,0.63192,-0.71884,20
943,0.85699,0.77179,0.51327,-0.46859,20
944,0.81523,0.71766,0.38315,-0.46663,20
945,1.0241,0.66662,0.15158,-0.88308,20
946,0.79898,0.57382,-0.058881,-0.62107,20
947,0.54721,0.51505,-0.34589,-0.2711,20
948,0.83959,0.41142,-0.53536,-0.89481,20
949,0.64003,0.36346,-0.82622,-0.61913,20
950,0.66323,0.29231,-1.0386,-0.74816,20
951,0.8013,0.28614,-1.3276,-0.98864,20
952,-0.12685,0.32944,-1.3256,0.63023,20
953,-0.461,0.3449,-0.98885,1.2129,20
954,-0.71508,0.37584,-0.52963,1.6802,20
955,-0.75685,0.46091,-0.014849,1.8581,20
956,-0.81254,0.54753,0.61852,2.0614,20
957,0.40451,0.6759,1.0433,0.17271,20
958,0.50545,0.80892,1.1045,0.17077,20
959,0.31634,0.89862,1.1122,0.60284,20
960,1.306,0.9311,1.1084,-1.0238,20
961,0.79318,0.96977,1.1753,-0.11079,20
962,0.88715,0.96204,1.0663,-0.27892,20
963,0.73864,0.96823,1.0758,-0.020826,20
964,1.0426,0.98833,0.91893,-0.50769,20
965,1.0925,0.97442,0.70268,-0.60934,20
966,0.74213,0.90636,0.55344,-0.10491,20
967,1.0461,0.87542,0.45204,-0.65628,20
968,0.9788,0.80736,0.2607,-0.6289,20
969,0.99622,0.66043,0.06743,-0.84399,20
970,1.0078,0.53515,-0.25408,-1.0219,20
971,0.95908,0.42998,-0.59085,-1.0727,20
972,1.1679,0.34182,-0.95634,-1.5361,20
973,0.89179,0.26139,-1.3352,-1.1724,20
974,-0.16399,0.20415,-1.4443,0.53443,20
975,-0.41227,0.232,-1.2108,0.98803,20
976,-0.87054,0.27377,-0.68652,1.8131,20
977,-0.72669,0.37429,-0.10479,1.6978,20
978,-0.86359,0.54597,0.52285,2.1455,20
979,0.011205,0.66662,1.1007,0.82379,20
980,0.054138,0.8182,1.2768,0.94306,20
981,0.83727,0.90327,1.3992,-0.26915,20
982,0.63886,0.99452,1.4528,0.18056,20
983,1.0902,1.044,1.4165,-0.51745,20
984,0.71777,1.0363,1.3303,0.10036,20
985,1.1575,1.0486,1.2213,-0.62499,20
986,1.1818,1.0626,1.0203,-0.64843,20
987,1.3872,1.044,0.73712,-1.018,20
988,1.2781,1.0208,0.43479,-0.86352,20
989,1.0832,0.92337,0.22433,-0.65822,20
990,1.1911,0.83831,-0.030169,-0.94758,20
991,1.2781,0.65889,-0.38992,-1.321,20
992,1.0241,0.49802,-0.78792,-1.0962,20
993,1.2399,0.30006,-1.3199,-1.7101,20
994,-0.3879,0.16085,-1.5266,0.85703,20
995,-0.82066,0.086605,-1.1591,1.4925,20
996,-1.1362,0.085067,-0.65015,2.0223,20
997,-0.68839,0.14693,-0.10098,1.3458,20
998,-0.98192,0.2552,0.50753,1.9773,20
999,0.24789,0.41914,0.9553,0.1121,20
1000,-0.12685,0.5568,1.0471,0.91762,20
1001,0.13535,0.72385,1.2634,0.68693,20
1002,0.60174,0.81046,1.2901,0.010443,20
1003,0.88831,0.88007,1.1945,-0.38448,20
1004,0.91384,0.9512,1.0854,-0.33759,20
1005,0.70848,1.0069,1.0108,0.07886,20
1006,0.89876,1.0765,0.93617,-0.1538,20
1007,0.95328,1.1105,0.79261,-0.20268,20
1008,1.096,1.1214,0.74098,-0.42945,20
1009,1.0252,1.1368,0.66823,-0.29065,20
1010,1.0531,1.0827,0.52666,-0.40601,20
1011,1.009,1.0146,0.3659,-0.41774,20
1012,0.8071,0.89399,0.19754,-0.23004,20
1013,1.0995,0.75014,-0.022509,-0.90458,20
1014,0.96489,0.58774,-0.21198,-0.88308,20
1015,1.2062,0.47173,-0.55255,-1.4364,20
1016,1.0542,0.39904,-0.94868,-1.2721,20
1017,0.12027,0.30625,-1.1247,0.18445,20
1018,-0.24984,0.30625,-0.98119,0.80817,20
1019,-0.73596,0.37584,-0.55448,1.7153,20
1020,-0.54802,0.45781,0.013808,1.5022,20
1021,-0.3937,0.6063,0.51134,1.4299,20
1022,-0.44939,0.73777,1.1677,1.6899,20
1023,0.50429,0.91563,1.4241,0.3076,20
1024,0.56229,1.0254,1.5638,0.34869,20
1025,1.0171,1.1121,1.7131,-0.30824,20
1026,1.1459,1.1353,1.6288,-0.49595,20
1027,1.2515,1.1708,1.3629,-0.6289,20
1028,1.2828,1.1291,1.1332,-0.73449,20
1029,1.4615,1.0858,0.79261,-1.0903,20
1030,1.4092,0.99452,0.43292,-1.1177,20
1031,1.3512,0.90636,0.10375,-1.1314,20
1032,1.5612,0.83366,-0.31531,-1.5772,20
1033,1.306,0.78726,-0.73816,-1.2057,20
1034,0.72356,0.67436,-1.0405,-0.36689,20
1035,-0.10133,0.52741,-0.91616,0.83747,20
1036,-0.42503,0.42689,-0.5736,1.2559,20
1037,-0.39834,0.4207,-0.22344,1.2031,20
1038,-0.35657,0.45937,0.18222,1.1816,20
1039,-0.5132,0.5336,0.65297,1.5394,20
1040,-0.54221,0.57073,1.2098,1.6352,20
1041,0.73168,0.72385,1.3629,-0.31801,20
1042,0.56462,0.8182,1.4088,0.082795,20
1043,0.52285,0.87388,1.3782,0.22356,20
1044,0.76185,0.90636,1.4031,-0.13815,20
1045,0.88368,0.96977,1.2691,-0.2633,20
1046,1.1331,0.96977,1.1677,-0.68364,20
1047,1.205,1.027,0.9591,-0.73252,20
1048,1.0774,1.0069,0.77542,-0.54289,20
1049,1.161,0.99143,0.65104,-0.70319,20
1050,1.1946,0.95585,0.42526,-0.80487,20
1051,1.2306,0.92028,0.19754,-0.91044,20
1052,1.0067,0.84294,-0.062684,-0.63086,20
1053,0.93356,0.75943,-0.34782,-0.61325,20
1054,0.96025,0.68209,-0.50857,-0.75599,20
1055,0.63424,0.61403,-0.83196,-0.29262,20
1056,0.18523,0.57536,-0.68845,0.41516,20
1057,-0.13963,0.6326,-0.47986,1.035,20
1058,-0.41923,0.67899,-0.079933,1.5648,20
1059,-0.48304,0.77953,0.4635,1.7994,20
1060,-0.62226,0.80273,1.0185,2.0634,20
1061,0.5066,0.77953,1.3552,0.13168,20
1062,0.74213,0.75478,1.4203,-0.29653,20
1063,0.86511,0.75014,1.3533,-0.50963,20
1064,0.55301,0.75168,1.336,0.018266,20
1065,0.78273,0.76869,1.2806,-0.34736,20
1066,0.78854,0.74859,1.1065,-0.38256,20
